COLaF ID and link	Title	Year	Original Search term	Link	Author	Genre	Character	Target_region	Lang	Metalang	Source	Transcribed	TEI	Added to corpus?
MOL_NLD_002	Min petite Sisca	1924		https://gallica.bnf.fr/ark:/12148/bpt6k2392074h/f7.image.r=sisca%20pasquilles?rk=21459;2	Watteuw	prose-short-stories	n/a	Tourcoing	fra-nld	met-fr	Gallica	yes	yes	yes
MOL_NLD_003	Sisca à de Cinéma	1925		https://gallica.bnf.fr/ark:/12148/bpt6k2392126s/f3.image.r=Ze%20l'attender%20toujours%20y%20parler%20de%20chine%CC%81ma?rk=21459;2	Watteuw	prose-short-stories	n/a	Tourcoing	fra-nld	met-fr	Gallica	yes	yes	yes
MOL_NLD_004	Pitche	1927		https://gallica.bnf.fr/ark:/12148/bpt6k2392207s/f4.item.r=%22mais%20mo%20pas%22.zoom	Watteuw	poetry	n/a	Tourcoing	fra-nld	met-fr	Gallica	yes	yes	yes
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														                        <date>1874</date>
